[INFO] [1790222737.569837449] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790222737.571373001] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790222782.416264031] [sage_energy_monitor]: ENERGY | remaining=96.2 % | voltage=16.13 V | drain_rate=0.054 %/s | home_distance=1.0 m | return_time=5 s | return_cost=0.3 % | margin_after_return=75.9 %
[INFO] [1790222783.417154321] [sage_energy_monitor]: ENERGY | remaining=96.1 % | voltage=16.13 V | drain_rate=0.054 %/s | home_distance=0.9 m | return_time=5 s | return_cost=0.2 % | margin_after_return=75.9 %
[INFO] [1790222784.416374449] [sage_energy_monitor]: ENERGY | remaining=96.1 % | voltage=16.13 V | drain_rate=0.054 %/s | home_distance=2.1 m | return_time=6 s | return_cost=0.3 % | margin_after_return=75.7 %
[INFO] [1790222785.422276005] [sage_energy_monitor]: ENERGY | remaining=96.0 % | voltage=16.13 V | drain_rate=0.054 %/s | home_distance=3.9 m | return_time=8 s | return_cost=0.4 % | margin_after_return=75.6 %
[INFO] [1790222786.414371363] [sage_energy_monitor]: ENERGY | remaining=95.9 % | voltage=16.13 V | drain_rate=0.054 %/s | home_distance=4.5 m | return_time=8 s | return_cost=0.4 % | margin_after_return=75.5 %
[INFO] [1790222787.426784299] [sage_energy_monitor]: ENERGY | remaining=95.9 % | voltage=16.12 V | drain_rate=0.054 %/s | home_distance=5.2 m | return_time=9 s | return_cost=0.5 % | margin_after_return=75.4 %
[INFO] [1790222788.416531793] [sage_energy_monitor]: ENERGY | remaining=95.8 % | voltage=16.12 V | drain_rate=0.054 %/s | home_distance=6.0 m | return_time=10 s | return_cost=0.5 % | margin_after_return=75.3 %
[INFO] [1790222789.417478519] [sage_energy_monitor]: ENERGY | remaining=95.8 % | voltage=16.12 V | drain_rate=0.054 %/s | home_distance=6.2 m | return_time=10 s | return_cost=0.5 % | margin_after_return=75.2 %
[INFO] [1790222790.416824307] [sage_energy_monitor]: ENERGY | remaining=95.7 % | voltage=16.12 V | drain_rate=0.054 %/s | home_distance=6.2 m | return_time=10 s | return_cost=0.6 % | margin_after_return=75.2 %
[INFO] [1790222791.415283623] [sage_energy_monitor]: ENERGY | remaining=95.7 % | voltage=16.12 V | drain_rate=0.054 %/s | home_distance=6.2 m | return_time=10 s | return_cost=0.6 % | margin_after_return=75.1 %
[INFO] [1790222792.420860663] [sage_energy_monitor]: ENERGY | remaining=95.6 % | voltage=16.12 V | drain_rate=0.055 %/s | home_distance=6.3 m | return_time=10 s | return_cost=0.5 % | margin_after_return=75.1 %
[INFO] [1790222793.415509335] [sage_energy_monitor]: ENERGY | remaining=95.6 % | voltage=16.12 V | drain_rate=0.055 %/s | home_distance=6.0 m | return_time=10 s | return_cost=0.5 % | margin_after_return=75.0 %
[INFO] [1790222794.416623904] [sage_energy_monitor]: ENERGY | remaining=95.5 % | voltage=16.12 V | drain_rate=0.055 %/s | home_distance=5.6 m | return_time=9 s | return_cost=0.5 % | margin_after_return=75.0 %
[INFO] [1790222795.419461574] [sage_energy_monitor]: ENERGY | remaining=95.4 % | voltage=16.12 V | drain_rate=0.056 %/s | home_distance=5.7 m | return_time=10 s | return_cost=0.5 % | margin_after_return=74.9 %
[INFO] [1790222796.417681732] [sage_energy_monitor]: ENERGY | remaining=95.4 % | voltage=16.12 V | drain_rate=0.056 %/s | home_distance=5.9 m | return_time=10 s | return_cost=0.5 % | margin_after_return=74.8 %
[INFO] [1790222797.416326570] [sage_energy_monitor]: ENERGY | remaining=95.3 % | voltage=16.11 V | drain_rate=0.056 %/s | home_distance=7.0 m | return_time=11 s | return_cost=0.6 % | margin_after_return=74.7 %
[INFO] [1790222798.415619248] [sage_energy_monitor]: ENERGY | remaining=95.3 % | voltage=16.11 V | drain_rate=0.055 %/s | home_distance=8.6 m | return_time=13 s | return_cost=0.7 % | margin_after_return=74.6 %
[INFO] [1790222799.417273510] [sage_energy_monitor]: ENERGY | remaining=95.2 % | voltage=16.11 V | drain_rate=0.055 %/s | home_distance=9.6 m | return_time=14 s | return_cost=0.7 % | margin_after_return=74.5 %
[INFO] [1790222800.418380234] [sage_energy_monitor]: ENERGY | remaining=95.2 % | voltage=16.11 V | drain_rate=0.055 %/s | home_distance=9.0 m | return_time=13 s | return_cost=0.7 % | margin_after_return=74.5 %
[INFO] [1790222801.416373894] [sage_energy_monitor]: ENERGY | remaining=95.1 % | voltage=16.11 V | drain_rate=0.055 %/s | home_distance=7.3 m | return_time=11 s | return_cost=0.6 % | margin_after_return=74.5 %
[INFO] [1790222802.417056586] [sage_energy_monitor]: ENERGY | remaining=95.1 % | voltage=16.11 V | drain_rate=0.055 %/s | home_distance=5.4 m | return_time=9 s | return_cost=0.5 % | margin_after_return=74.6 %
[INFO] [1790222803.420169811] [sage_energy_monitor]: ENERGY | remaining=95.0 % | voltage=16.11 V | drain_rate=0.055 %/s | home_distance=3.5 m | return_time=7 s | return_cost=0.4 % | margin_after_return=74.6 %
[INFO] [1790222804.414525616] [sage_energy_monitor]: ENERGY | remaining=95.0 % | voltage=16.11 V | drain_rate=0.055 %/s | home_distance=1.4 m | return_time=5 s | return_cost=0.3 % | margin_after_return=74.7 %
[INFO] [1790222805.416040802] [sage_energy_monitor]: ENERGY | remaining=94.9 % | voltage=16.11 V | drain_rate=0.055 %/s | home_distance=0.8 m | return_time=5 s | return_cost=0.3 % | margin_after_return=74.6 %
[INFO] [1790222806.418013272] [sage_energy_monitor]: ENERGY | remaining=94.8 % | voltage=16.11 V | drain_rate=0.055 %/s | home_distance=2.6 m | return_time=7 s | return_cost=0.4 % | margin_after_return=74.5 %
[INFO] [1790222807.417913754] [sage_energy_monitor]: ENERGY | remaining=94.8 % | voltage=16.10 V | drain_rate=0.056 %/s | home_distance=4.4 m | return_time=8 s | return_cost=0.5 % | margin_after_return=74.3 %
[INFO] [1790222808.415688080] [sage_energy_monitor]: ENERGY | remaining=94.7 % | voltage=16.10 V | drain_rate=0.055 %/s | home_distance=6.3 m | return_time=10 s | return_cost=0.6 % | margin_after_return=74.2 %
[INFO] [1790222809.415420050] [sage_energy_monitor]: ENERGY | remaining=94.7 % | voltage=16.10 V | drain_rate=0.055 %/s | home_distance=8.1 m | return_time=12 s | return_cost=0.7 % | margin_after_return=74.0 %
[INFO] [1790222810.415746237] [sage_energy_monitor]: ENERGY | remaining=94.6 % | voltage=16.10 V | drain_rate=0.055 %/s | home_distance=9.4 m | return_time=13 s | return_cost=0.7 % | margin_after_return=73.9 %
[INFO] [1790222811.416020085] [sage_energy_monitor]: ENERGY | remaining=94.6 % | voltage=16.10 V | drain_rate=0.055 %/s | home_distance=9.8 m | return_time=14 s | return_cost=0.8 % | margin_after_return=73.8 %
[INFO] [1790222812.416449371] [sage_energy_monitor]: ENERGY | remaining=94.5 % | voltage=16.10 V | drain_rate=0.055 %/s | home_distance=8.7 m | return_time=13 s | return_cost=0.7 % | margin_after_return=73.8 %
[INFO] [1790222813.415567717] [sage_energy_monitor]: ENERGY | remaining=94.5 % | voltage=16.10 V | drain_rate=0.055 %/s | home_distance=6.7 m | return_time=11 s | return_cost=0.6 % | margin_after_return=73.9 %
[INFO] [1790222814.414231213] [sage_energy_monitor]: ENERGY | remaining=94.4 % | voltage=16.10 V | drain_rate=0.055 %/s | home_distance=5.7 m | return_time=10 s | return_cost=0.5 % | margin_after_return=73.9 %
[INFO] [1790222815.414502068] [sage_energy_monitor]: ENERGY | remaining=94.3 % | voltage=16.10 V | drain_rate=0.055 %/s | home_distance=5.4 m | return_time=9 s | return_cost=0.5 % | margin_after_return=73.8 %
[INFO] [1790222816.415524973] [sage_energy_monitor]: ENERGY | remaining=94.3 % | voltage=16.10 V | drain_rate=0.055 %/s | home_distance=5.2 m | return_time=9 s | return_cost=0.5 % | margin_after_return=73.8 %
[INFO] [1790222817.416815615] [sage_energy_monitor]: ENERGY | remaining=94.2 % | voltage=16.09 V | drain_rate=0.055 %/s | home_distance=5.3 m | return_time=9 s | return_cost=0.5 % | margin_after_return=73.7 %
[INFO] [1790222818.416430217] [sage_energy_monitor]: ENERGY | remaining=94.2 % | voltage=16.09 V | drain_rate=0.055 %/s | home_distance=5.3 m | return_time=9 s | return_cost=0.5 % | margin_after_return=73.7 %
[INFO] [1790222819.422304628] [sage_energy_monitor]: ENERGY | remaining=94.1 % | voltage=16.09 V | drain_rate=0.055 %/s | home_distance=5.1 m | return_time=9 s | return_cost=0.5 % | margin_after_return=73.6 %
[INFO] [1790222820.417619521] [sage_energy_monitor]: ENERGY | remaining=94.1 % | voltage=16.09 V | drain_rate=0.055 %/s | home_distance=4.4 m | return_time=8 s | return_cost=0.5 % | margin_after_return=73.6 %
[INFO] [1790222821.423911802] [sage_energy_monitor]: ENERGY | remaining=94.0 % | voltage=16.09 V | drain_rate=0.055 %/s | home_distance=4.7 m | return_time=9 s | return_cost=0.5 % | margin_after_return=73.5 %
[INFO] [1790222822.416007884] [sage_energy_monitor]: ENERGY | remaining=93.9 % | voltage=16.09 V | drain_rate=0.056 %/s | home_distance=5.6 m | return_time=10 s | return_cost=0.5 % | margin_after_return=73.4 %
[INFO] [1790222823.422522681] [sage_energy_monitor]: ENERGY | remaining=93.9 % | voltage=16.09 V | drain_rate=0.056 %/s | home_distance=6.8 m | return_time=11 s | return_cost=0.6 % | margin_after_return=73.3 %
[INFO] [1790222824.415679540] [sage_energy_monitor]: ENERGY | remaining=93.8 % | voltage=16.09 V | drain_rate=0.056 %/s | home_distance=7.9 m | return_time=12 s | return_cost=0.7 % | margin_after_return=73.2 %
[INFO] [1790222825.415535131] [sage_energy_monitor]: ENERGY | remaining=93.8 % | voltage=16.09 V | drain_rate=0.056 %/s | home_distance=8.4 m | return_time=12 s | return_cost=0.7 % | margin_after_return=73.1 %
[INFO] [1790222826.415038309] [sage_energy_monitor]: ENERGY | remaining=93.7 % | voltage=16.09 V | drain_rate=0.055 %/s | home_distance=8.6 m | return_time=12 s | return_cost=0.7 % | margin_after_return=73.0 %
[INFO] [1790222827.418939734] [sage_energy_monitor]: ENERGY | remaining=93.7 % | voltage=16.08 V | drain_rate=0.055 %/s | home_distance=8.6 m | return_time=12 s | return_cost=0.7 % | margin_after_return=73.0 %
[INFO] [1790222828.428925669] [sage_energy_monitor]: ENERGY | remaining=93.6 % | voltage=16.08 V | drain_rate=0.055 %/s | home_distance=8.6 m | return_time=12 s | return_cost=0.7 % | margin_after_return=72.9 %
[INFO] [1790222829.415956062] [sage_energy_monitor]: ENERGY | remaining=93.6 % | voltage=16.08 V | drain_rate=0.056 %/s | home_distance=8.7 m | return_time=12 s | return_cost=0.7 % | margin_after_return=72.9 %
[INFO] [1790222830.422196554] [sage_energy_monitor]: ENERGY | remaining=93.5 % | voltage=16.08 V | drain_rate=0.055 %/s | home_distance=8.7 m | return_time=12 s | return_cost=0.7 % | margin_after_return=72.8 %
[INFO] [1790222831.420453910] [sage_energy_monitor]: ENERGY | remaining=93.5 % | voltage=16.08 V | drain_rate=0.056 %/s | home_distance=8.8 m | return_time=12 s | return_cost=0.7 % | margin_after_return=72.8 %
[INFO] [1790222832.416647181] [sage_energy_monitor]: ENERGY | remaining=93.4 % | voltage=16.08 V | drain_rate=0.055 %/s | home_distance=8.7 m | return_time=12 s | return_cost=0.7 % | margin_after_return=72.7 %
[INFO] [1790222833.417211957] [sage_energy_monitor]: ENERGY | remaining=93.3 % | voltage=16.08 V | drain_rate=0.056 %/s | home_distance=8.6 m | return_time=12 s | return_cost=0.7 % | margin_after_return=72.7 %
[INFO] [1790222834.416886665] [sage_energy_monitor]: ENERGY | remaining=93.3 % | voltage=16.08 V | drain_rate=0.056 %/s | home_distance=8.4 m | return_time=12 s | return_cost=0.7 % | margin_after_return=72.6 %
[INFO] [1790222835.416195719] [sage_energy_monitor]: ENERGY | remaining=93.2 % | voltage=16.08 V | drain_rate=0.056 %/s | home_distance=7.5 m | return_time=11 s | return_cost=0.6 % | margin_after_return=72.6 %
[INFO] [1790222836.415899952] [sage_energy_monitor]: ENERGY | remaining=93.2 % | voltage=16.08 V | drain_rate=0.055 %/s | home_distance=6.7 m | return_time=10 s | return_cost=0.6 % | margin_after_return=72.6 %
[INFO] [1790222837.422210398] [sage_energy_monitor]: ENERGY | remaining=93.1 % | voltage=16.07 V | drain_rate=0.055 %/s | home_distance=6.3 m | return_time=10 s | return_cost=0.6 % | margin_after_return=72.6 %
[INFO] [1790222838.416635615] [sage_energy_monitor]: ENERGY | remaining=93.1 % | voltage=16.07 V | drain_rate=0.056 %/s | home_distance=6.1 m | return_time=10 s | return_cost=0.6 % | margin_after_return=72.5 %
