[INFO] [1790296040.869854559] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790296040.870654891] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790296040.871488582] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790296040.872419557] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790296040.873262542] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790296055.742567832] [sage_target_localizer]: Person 3D | pixel=(90.0,776.3) | position=(3.07,3.15,0.00) | range=4.26 m
[INFO] [1790296055.848986710] [sage_target_localizer]: Person 3D | pixel=(91.2,775.9) | position=(3.61,3.59,0.00) | range=5.00 m
[INFO] [1790296055.944556989] [sage_target_localizer]: Person 3D | pixel=(91.2,775.9) | position=(3.61,3.59,0.00) | range=5.00 m
[INFO] [1790296056.041730018] [sage_target_localizer]: Person 3D | pixel=(91.2,775.9) | position=(3.61,3.59,0.00) | range=5.00 m
[INFO] [1790296056.144058314] [sage_target_localizer]: Person 3D | pixel=(89.8,777.7) | position=(3.59,3.55,0.00) | range=4.96 m
[INFO] [1790296056.244202812] [sage_target_localizer]: Person 3D | pixel=(89.8,777.7) | position=(3.59,3.55,0.00) | range=4.96 m
[INFO] [1790296056.343287350] [sage_target_localizer]: Person 3D | pixel=(88.0,773.2) | position=(3.61,3.56,0.00) | range=5.01 m
[INFO] [1790296056.445859779] [sage_target_localizer]: Person 3D | pixel=(88.0,773.2) | position=(3.61,3.56,0.00) | range=5.01 m
[INFO] [1790296056.544257508] [sage_target_localizer]: Person 3D | pixel=(84.5,773.1) | position=(3.58,3.54,0.00) | range=5.00 m
[INFO] [1790296056.645056108] [sage_target_localizer]: Person 3D | pixel=(84.5,773.1) | position=(3.58,3.54,0.00) | range=5.00 m
[INFO] [1790296056.745517896] [sage_target_localizer]: Person 3D | pixel=(76.5,777.9) | position=(3.54,3.47,0.00) | range=4.94 m
[INFO] [1790296056.847269398] [sage_target_localizer]: Person 3D | pixel=(76.5,777.9) | position=(3.54,3.47,0.00) | range=4.94 m
[INFO] [1790296056.948579357] [sage_target_localizer]: Person 3D | pixel=(73.0,781.4) | position=(3.49,3.42,0.00) | range=4.90 m
