[INFO] [1790290127.481929474] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790290127.482974010] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790290127.483665479] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790290127.484347125] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790290127.485048798] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790290141.257465262] [sage_target_localizer]: Person 3D | pixel=(740.4,699.4) | position=(-0.88,4.42,0.00) | range=4.39 m
[INFO] [1790290141.364805879] [sage_target_localizer]: Person 3D | pixel=(740.4,699.4) | position=(-0.88,4.42,0.00) | range=4.39 m
[INFO] [1790290141.457414757] [sage_target_localizer]: Person 3D | pixel=(741.6,700.3) | position=(-0.87,4.38,0.00) | range=4.34 m
[INFO] [1790290141.566880948] [sage_target_localizer]: Person 3D | pixel=(741.6,700.3) | position=(-0.87,4.38,0.00) | range=4.34 m
[INFO] [1790290141.672139289] [sage_target_localizer]: Person 3D | pixel=(741.3,699.2) | position=(-0.86,4.37,0.00) | range=4.34 m
[INFO] [1790290141.760132085] [sage_target_localizer]: Person 3D | pixel=(741.3,699.2) | position=(-0.86,4.37,0.00) | range=4.34 m
[INFO] [1790290141.867770790] [sage_target_localizer]: Person 3D | pixel=(741.1,697.8) | position=(-0.86,4.37,0.00) | range=4.33 m
[INFO] [1790290141.959349277] [sage_target_localizer]: Person 3D | pixel=(741.1,697.8) | position=(-0.86,4.37,0.00) | range=4.33 m
[INFO] [1790290142.065965729] [sage_target_localizer]: Person 3D | pixel=(741.5,698.1) | position=(-0.86,4.36,0.00) | range=4.32 m
[INFO] [1790290142.160111486] [sage_target_localizer]: Person 3D | pixel=(741.5,698.1) | position=(-0.86,4.36,0.00) | range=4.32 m
[INFO] [1790290142.257753746] [sage_target_localizer]: Person 3D | pixel=(742.1,697.6) | position=(-0.87,4.36,0.00) | range=4.32 m
[INFO] [1790290142.360213720] [sage_target_localizer]: Person 3D | pixel=(742.1,697.6) | position=(-0.87,4.36,0.00) | range=4.32 m
[INFO] [1790290142.458083203] [sage_target_localizer]: Person 3D | pixel=(743.5,697.6) | position=(-0.87,4.35,0.00) | range=4.31 m
[INFO] [1790290142.568162269] [sage_target_localizer]: Person 3D | pixel=(744.8,698.8) | position=(-0.87,4.32,0.00) | range=4.29 m
[INFO] [1790290142.657479332] [sage_target_localizer]: Person 3D | pixel=(744.8,698.8) | position=(-0.87,4.32,0.00) | range=4.29 m
[INFO] [1790290142.760520598] [sage_target_localizer]: Person 3D | pixel=(744.8,698.8) | position=(-0.87,4.32,0.00) | range=4.29 m
[INFO] [1790290142.858257231] [sage_target_localizer]: Person 3D | pixel=(745.3,700.9) | position=(-0.87,4.29,0.00) | range=4.25 m
[INFO] [1790290142.963064423] [sage_target_localizer]: Person 3D | pixel=(745.3,700.9) | position=(-0.87,4.29,0.00) | range=4.25 m
[INFO] [1790290143.060603973] [sage_target_localizer]: Person 3D | pixel=(746.3,700.7) | position=(-0.87,4.30,0.00) | range=4.26 m
[INFO] [1790290143.159714157] [sage_target_localizer]: Person 3D | pixel=(746.3,700.7) | position=(-0.87,4.30,0.00) | range=4.26 m
[INFO] [1790290143.263384875] [sage_target_localizer]: Person 3D | pixel=(746.7,701.6) | position=(-0.88,4.29,0.00) | range=4.25 m
[INFO] [1790290143.357360133] [sage_target_localizer]: Person 3D | pixel=(746.7,701.6) | position=(-0.88,4.29,0.00) | range=4.25 m
[INFO] [1790290143.457880049] [sage_target_localizer]: Person 3D | pixel=(746.7,701.6) | position=(-0.88,4.29,0.00) | range=4.25 m
[INFO] [1790290143.557795612] [sage_target_localizer]: Person 3D | pixel=(746.8,704.4) | position=(-0.88,4.25,0.00) | range=4.21 m
[INFO] [1790290143.657150055] [sage_target_localizer]: Person 3D | pixel=(746.8,704.4) | position=(-0.88,4.25,0.00) | range=4.21 m
[INFO] [1790290143.759615815] [sage_target_localizer]: Person 3D | pixel=(746.8,704.4) | position=(-0.88,4.25,0.00) | range=4.21 m
[INFO] [1790290143.862501248] [sage_target_localizer]: Person 3D | pixel=(745.8,707.0) | position=(-0.87,4.22,0.00) | range=4.17 m
[INFO] [1790290143.959075611] [sage_target_localizer]: Person 3D | pixel=(745.8,707.0) | position=(-0.87,4.22,0.00) | range=4.17 m
[INFO] [1790290144.057402875] [sage_target_localizer]: Person 3D | pixel=(745.8,707.0) | position=(-0.87,4.22,0.00) | range=4.17 m
[INFO] [1790290144.160190367] [sage_target_localizer]: Person 3D | pixel=(747.6,708.8) | position=(-0.88,4.20,0.00) | range=4.16 m
[INFO] [1790290144.257762430] [sage_target_localizer]: Person 3D | pixel=(747.6,708.8) | position=(-0.88,4.20,0.00) | range=4.16 m
[INFO] [1790290144.363190389] [sage_target_localizer]: Person 3D | pixel=(748.8,709.1) | position=(-0.88,4.21,0.00) | range=4.16 m
[INFO] [1790290144.460115865] [sage_target_localizer]: Person 3D | pixel=(748.8,709.1) | position=(-0.88,4.21,0.00) | range=4.16 m
[INFO] [1790290144.558830641] [sage_target_localizer]: Person 3D | pixel=(747.7,712.9) | position=(-0.85,4.15,0.00) | range=4.11 m
[INFO] [1790290144.657159646] [sage_target_localizer]: Person 3D | pixel=(745.6,715.3) | position=(-0.83,4.13,0.00) | range=4.08 m
[INFO] [1790290144.764074685] [sage_target_localizer]: Person 3D | pixel=(745.6,715.3) | position=(-0.83,4.13,0.00) | range=4.08 m
[INFO] [1790290144.860238842] [sage_target_localizer]: Person 3D | pixel=(748.2,716.9) | position=(-0.84,4.11,0.00) | range=4.06 m
[INFO] [1790290144.962200394] [sage_target_localizer]: Person 3D | pixel=(748.2,716.9) | position=(-0.84,4.11,0.00) | range=4.06 m
[INFO] [1790290145.058883176] [sage_target_localizer]: Person 3D | pixel=(748.2,716.9) | position=(-0.84,4.11,0.00) | range=4.06 m
[INFO] [1790290145.158654498] [sage_target_localizer]: Person 3D | pixel=(1143.5,644.5) | position=(-5.24,5.65,0.00) | range=7.58 m
[INFO] [1790290145.270002919] [sage_target_localizer]: Person 3D | pixel=(1143.5,644.5) | position=(-5.24,5.65,0.00) | range=7.58 m
[INFO] [1790290145.358844279] [sage_target_localizer]: Person 3D | pixel=(1155.4,652.1) | position=(-5.16,5.43,0.00) | range=7.38 m
[INFO] [1790290145.463824750] [sage_target_localizer]: Person 3D | pixel=(1155.4,652.1) | position=(-5.16,5.43,0.00) | range=7.38 m
[INFO] [1790290145.557464563] [sage_target_localizer]: Person 3D | pixel=(1155.4,652.1) | position=(-5.16,5.43,0.00) | range=7.38 m
[INFO] [1790290145.657474294] [sage_target_localizer]: Person 3D | pixel=(748.0,722.3) | position=(-0.82,4.05,0.00) | range=4.00 m
[INFO] [1790290145.759179448] [sage_target_localizer]: Person 3D | pixel=(1175.8,666.8) | position=(-4.99,5.06,0.00) | range=6.99 m
[INFO] [1790290145.857397142] [sage_target_localizer]: Person 3D | pixel=(1175.8,666.8) | position=(-4.99,5.06,0.00) | range=6.99 m
[INFO] [1790290145.958845207] [sage_target_localizer]: Person 3D | pixel=(1175.8,666.8) | position=(-4.99,5.06,0.00) | range=6.99 m
[INFO] [1790290146.059130283] [sage_target_localizer]: Person 3D | pixel=(1184.0,674.3) | position=(-4.91,4.90,0.00) | range=6.82 m
[INFO] [1790290146.160083111] [sage_target_localizer]: Person 3D | pixel=(1184.0,674.3) | position=(-4.91,4.90,0.00) | range=6.82 m
[INFO] [1790290146.262497418] [sage_target_localizer]: Person 3D | pixel=(1189.4,676.6) | position=(-4.92,4.88,0.00) | range=6.81 m
[INFO] [1790290146.357532954] [sage_target_localizer]: Person 3D | pixel=(1189.4,676.6) | position=(-4.92,4.88,0.00) | range=6.81 m
[INFO] [1790290146.464098341] [sage_target_localizer]: Person 3D | pixel=(1194.2,680.3) | position=(-4.89,4.82,0.00) | range=6.75 m
[INFO] [1790290146.559252987] [sage_target_localizer]: Person 3D | pixel=(1201.4,685.0) | position=(-4.86,4.73,0.00) | range=6.67 m
[INFO] [1790290146.658539354] [sage_target_localizer]: Person 3D | pixel=(1201.4,685.0) | position=(-4.86,4.73,0.00) | range=6.67 m
[INFO] [1790290146.765265527] [sage_target_localizer]: Person 3D | pixel=(749.7,729.6) | position=(-0.81,4.02,0.00) | range=3.95 m
[INFO] [1790290146.858231125] [sage_target_localizer]: Person 3D | pixel=(749.7,729.6) | position=(-0.81,4.02,0.00) | range=3.95 m
[INFO] [1790290146.964254270] [sage_target_localizer]: Person 3D | pixel=(751.1,730.6) | position=(-0.82,4.02,0.00) | range=3.95 m
[INFO] [1790290147.057215407] [sage_target_localizer]: Person 3D | pixel=(751.1,730.6) | position=(-0.82,4.02,0.00) | range=3.95 m
[INFO] [1790290147.159116618] [sage_target_localizer]: Person 3D | pixel=(1237.0,697.5) | position=(-4.91,4.53,0.00) | range=6.56 m
[INFO] [1790290147.257313453] [sage_target_localizer]: Person 3D | pixel=(1237.0,697.5) | position=(-4.91,4.53,0.00) | range=6.56 m
[INFO] [1790290147.358749995] [sage_target_localizer]: Person 3D | pixel=(1240.6,698.4) | position=(-4.92,4.52,0.00) | range=6.56 m
[INFO] [1790290147.460592784] [sage_target_localizer]: Person 3D | pixel=(1240.6,698.4) | position=(-4.92,4.52,0.00) | range=6.56 m
[INFO] [1790290147.564025032] [sage_target_localizer]: Person 3D | pixel=(1240.6,698.4) | position=(-4.92,4.52,0.00) | range=6.56 m
[INFO] [1790290147.657706687] [sage_target_localizer]: Person 3D | pixel=(1245.3,700.4) | position=(-4.93,4.50,0.00) | range=6.55 m
[INFO] [1790290147.761369850] [sage_target_localizer]: Person 3D | pixel=(1245.3,700.4) | position=(-4.93,4.50,0.00) | range=6.55 m
[INFO] [1790290147.861572284] [sage_target_localizer]: Person 3D | pixel=(749.0,732.7) | position=(-0.79,4.02,0.00) | range=3.93 m
[INFO] [1790290147.957249936] [sage_target_localizer]: Person 3D | pixel=(749.0,732.7) | position=(-0.79,4.02,0.00) | range=3.93 m
[INFO] [1790290148.067530159] [sage_target_localizer]: Person 3D | pixel=(749.0,732.7) | position=(-0.79,4.02,0.00) | range=3.93 m
[INFO] [1790290148.158315811] [sage_target_localizer]: Person 3D | pixel=(744.5,735.2) | position=(-0.75,3.95,0.00) | range=3.87 m
[INFO] [1790290148.265559462] [sage_target_localizer]: Person 3D | pixel=(744.5,735.2) | position=(-0.75,3.95,0.00) | range=3.87 m
[INFO] [1790290148.361170226] [sage_target_localizer]: Person 3D | pixel=(744.5,735.2) | position=(-0.75,3.95,0.00) | range=3.87 m
[INFO] [1790290148.857602377] [sage_target_localizer]: Person 3D | pixel=(740.9,734.6) | position=(-0.73,3.97,0.00) | range=3.89 m
[INFO] [1790290148.957708122] [sage_target_localizer]: Person 3D | pixel=(740.7,732.6) | position=(-0.74,3.99,0.00) | range=3.92 m
[INFO] [1790290149.058842093] [sage_target_localizer]: Person 3D | pixel=(740.7,732.6) | position=(-0.74,3.99,0.00) | range=3.92 m
[INFO] [1790290149.163865900] [sage_target_localizer]: Person 3D | pixel=(739.8,731.7) | position=(-0.74,3.99,0.00) | range=3.93 m
[INFO] [1790290149.259251257] [sage_target_localizer]: Person 3D | pixel=(739.8,731.7) | position=(-0.74,3.99,0.00) | range=3.93 m
[INFO] [1790290149.360083429] [sage_target_localizer]: Person 3D | pixel=(739.8,731.7) | position=(-0.74,3.99,0.00) | range=3.93 m
[INFO] [1790290149.457621203] [sage_target_localizer]: Person 3D | pixel=(738.6,729.2) | position=(-0.73,4.01,0.00) | range=3.95 m
[INFO] [1790290149.558548630] [sage_target_localizer]: Person 3D | pixel=(739.7,726.9) | position=(-0.75,4.04,0.00) | range=3.98 m
[INFO] [1790290149.657953266] [sage_target_localizer]: Person 3D | pixel=(739.7,726.9) | position=(-0.75,4.04,0.00) | range=3.98 m
