[INFO] [1790221260.296674967] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790221260.298289774] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790221260.299742013] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790221260.302700345] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790221260.303528724] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790221260.306724262] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790221260.307811109] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790221269.569042940] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.28, 5.07, 0.00) | state=STATIONARY
[INFO] [1790221272.281690597] [sage_semantic_world_model]: Target 1 updated | association_distance=0.52 m | raw=(-0.27, 3.86, 0.00) | smoothed=(-0.28, 4.25, 0.00) | velocity=(0.02, -1.53, 0.00) m/s | speed=1.53 m/s | net=0.82 m | straightness=1.00 | direction=1.00 | state=MOVING | detections=15
[INFO] [1790221272.369939260] [sage_semantic_world_model]: Target 2 updated | association_distance=0.18 m | raw=(-8.27, 9.60, 0.00) | smoothed=(-8.39, 9.65, 0.00) | velocity=(0.01, 0.00, 0.00) m/s | speed=0.01 m/s | net=0.10 m | straightness=0.52 | direction=0.00 | state=STATIONARY | detections=14
[INFO] [1790221272.470973721] [sage_semantic_world_model]: Target 2 updated | association_distance=0.13 m | raw=(-8.27, 9.60, 0.00) | smoothed=(-8.36, 9.64, 0.00) | velocity=(0.06, -0.02, 0.00) m/s | speed=0.06 m/s | net=0.06 m | straightness=0.27 | direction=0.00 | state=STATIONARY | detections=15
[INFO] [1790221272.574755817] [sage_semantic_world_model]: Target 2 updated | association_distance=0.10 m | raw=(-8.27, 9.60, 0.00) | smoothed=(-8.34, 9.63, 0.00) | velocity=(0.09, -0.03, 0.00) m/s | speed=0.09 m/s | net=0.02 m | straightness=0.11 | direction=0.00 | state=STATIONARY | detections=16
[INFO] [1790221272.671732469] [sage_semantic_world_model]: Target 2 updated | association_distance=0.15 m | raw=(-8.19, 9.58, 0.00) | smoothed=(-8.30, 9.62, 0.00) | velocity=(0.13, -0.05, 0.00) m/s | speed=0.14 m/s | net=0.07 m | straightness=0.33 | direction=0.00 | state=STATIONARY | detections=17
[INFO] [1790221272.768140799] [sage_semantic_world_model]: Target 2 updated | association_distance=0.12 m | raw=(-8.19, 9.58, 0.00) | smoothed=(-8.28, 9.61, 0.00) | velocity=(0.30, -0.11, 0.00) m/s | speed=0.32 m/s | net=0.12 m | straightness=0.52 | direction=0.00 | state=STATIONARY | detections=18
[INFO] [1790221272.871466693] [sage_semantic_world_model]: Target 2 updated | association_distance=0.09 m | raw=(-8.19, 9.58, 0.00) | smoothed=(-8.25, 9.60, 0.00) | velocity=(0.27, -0.09, 0.00) m/s | speed=0.28 m/s | net=0.16 m | straightness=0.70 | direction=0.00 | state=STATIONARY | detections=19
[INFO] [1790221272.969079605] [sage_semantic_world_model]: Target 1 updated | association_distance=0.26 m | raw=(-0.33, 4.51, 0.00) | smoothed=(-0.29, 4.31, 0.00) | velocity=(-0.00, -0.47, 0.00) m/s | speed=0.47 m/s | net=0.76 m | straightness=0.85 | direction=0.86 | state=MOVING | detections=16
[INFO] [1790221273.070630438] [sage_semantic_world_model]: Target 1 updated | association_distance=0.20 m | raw=(-0.33, 4.51, 0.00) | smoothed=(-0.30, 4.36, 0.00) | velocity=(-0.02, -0.19, 0.00) m/s | speed=0.19 m/s | net=0.71 m | straightness=0.76 | direction=0.75 | state=MOVING | detections=17
[INFO] [1790221273.172186397] [sage_semantic_world_model]: Target 2 updated | association_distance=0.11 m | raw=(-8.17, 9.53, 0.00) | smoothed=(-8.23, 9.59, 0.00) | velocity=(0.17, -0.08, 0.00) m/s | speed=0.19 m/s | net=0.20 m | straightness=0.83 | direction=0.00 | state=STATIONARY | detections=20
[INFO] [1790221273.274017586] [sage_semantic_world_model]: Target 2 updated | association_distance=0.08 m | raw=(-8.17, 9.53, 0.00) | smoothed=(-8.22, 9.57, 0.00) | velocity=(0.14, -0.08, 0.00) m/s | speed=0.16 m/s | net=0.23 m | straightness=0.92 | direction=0.00 | state=STATIONARY | detections=21
[INFO] [1790221273.371899587] [sage_semantic_world_model]: Target 2 updated | association_distance=0.06 m | raw=(-8.17, 9.53, 0.00) | smoothed=(-8.21, 9.56, 0.00) | velocity=(0.11, -0.08, 0.00) m/s | speed=0.14 m/s | net=0.25 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=22
