t,viewpoint,conf,bbox_frac,px,py,img_x,img_y
1790177801.0833056,1,0.765,0.0195,170.0,663.4,0.133,0.691
1790177802.240608,1,0.652,0.01,390.6,602.2,0.305,0.627
1790177803.4310436,1,0.621,0.0124,319.5,611.7,0.25,0.637
1790177804.6606283,1,0.743,0.0148,325.5,616.4,0.254,0.642
1790177805.702275,1,0.728,0.0162,309.2,623.3,0.242,0.649
1790177806.7075958,1,0.775,0.0172,297.5,630.5,0.232,0.657
1790177807.7670825,1,0.803,0.0191,292.9,633.0,0.229,0.659
1790177808.8185055,1,0.747,0.016,299.7,643.3,0.234,0.67
1790177809.9222162,1,0.764,0.0166,296.8,645.4,0.232,0.672
1790177810.9537466,1,0.778,0.0149,292.9,658.3,0.229,0.686
1790177811.9597557,1,0.769,0.0159,296.8,672.1,0.232,0.7
1790177813.0538473,1,0.785,0.0236,313.9,679.5,0.245,0.708
1790177814.0578995,1,0.807,0.0243,322.0,676.6,0.252,0.705
1790177815.0610764,1,0.767,0.0202,322.2,662.9,0.252,0.69
1790177816.1645103,1,0.756,0.0144,317.0,654.9,0.248,0.682
1790177817.3676174,1,0.764,0.0151,321.0,659.1,0.251,0.687
1790177818.5033183,1,0.799,0.0168,330.4,661.7,0.258,0.689
1790177819.7643497,1,0.77,0.0175,336.0,659.5,0.263,0.687
1790177820.965047,1,0.804,0.0145,334.9,663.8,0.262,0.691
1790177822.102686,1,0.802,0.0149,336.8,664.8,0.263,0.692
1790177823.1717205,1,0.768,0.0152,339.8,661.8,0.265,0.689
1790177824.363322,1,0.788,0.0163,340.5,655.5,0.266,0.683
1790177825.460759,1,0.78,0.0199,347.8,655.3,0.272,0.683
1790177826.7539396,1,0.761,0.0286,360.7,655.9,0.282,0.683
1790177828.7765026,2,0.602,0.0233,355.4,663.2,0.278,0.691
1790177833.4654462,4,0.651,0.0818,1138.3,780.9,0.889,0.813
1790177834.8414626,4,0.334,0.0804,1108.3,687.5,0.866,0.716
1790177836.0927427,4,0.69,0.0136,497.5,597.8,0.389,0.623
1790177837.258933,4,0.636,0.0063,723.1,565.7,0.565,0.589
1790177838.3647823,4,0.485,0.0073,804.6,595.0,0.629,0.62
1790177840.5068264,1,0.758,0.0261,174.3,589.7,0.136,0.614
1790177841.802112,2,0.792,0.0201,157.2,649.9,0.123,0.677
1790177843.0611036,2,0.383,0.0179,357.5,352.1,0.279,0.367
1790177849.538958,4,0.813,0.0443,962.2,747.0,0.752,0.778
1790177850.8612652,1,0.395,0.0059,718.3,536.7,0.561,0.559
1790177851.893224,1,0.699,0.0062,936.7,541.1,0.732,0.564
1790177853.0261621,1,0.799,0.0154,141.4,577.0,0.11,0.601
1790177854.0376713,1,0.579,0.0232,131.1,624.9,0.102,0.651
1790177855.2638285,2,0.766,0.0121,439.5,588.1,0.343,0.613
1790177856.3668392,2,0.777,0.0155,339.0,245.9,0.265,0.256
1790177887.12357,4,0.333,0.0595,1129.2,787.2,0.882,0.82
1790177888.8218462,4,0.794,0.0238,729.1,601.4,0.57,0.626
1790177890.0653496,4,0.765,0.0085,747.6,488.0,0.584,0.508
1790177891.3724897,4,0.743,0.0084,865.5,507.9,0.676,0.529
1790177894.0748928,1,0.622,0.024,225.4,523.5,0.176,0.545
1790177895.0792356,1,0.733,0.0304,77.0,575.9,0.06,0.6
1790177896.9626935,2,0.634,0.0145,422.5,552.2,0.33,0.575
1790177899.3574185,2,0.693,0.0098,368.0,488.0,0.287,0.508
1790177908.222729,4,0.747,0.0181,714.5,656.1,0.558,0.683
1790177909.3600135,4,0.705,0.0098,772.2,546.2,0.603,0.569
1790177910.6611598,1,0.798,0.0107,937.7,552.8,0.733,0.576
1790177911.9454067,1,0.464,0.0129,651.2,410.5,0.509,0.428
1790177914.3175535,2,0.775,0.0185,239.4,676.1,0.187,0.704
1790177915.5705764,2,0.663,0.0101,462.1,619.4,0.361,0.645
1790177922.7006173,4,0.464,0.0341,799.1,816.0,0.624,0.85
1790177923.747267,4,0.398,0.0072,676.8,577.2,0.529,0.601
1790177924.8138406,1,0.721,0.0068,930.0,524.5,0.727,0.546
1790177926.2886436,1,0.787,0.0221,77.2,580.6,0.06,0.605
1790177927.6635818,1,0.817,0.0284,145.2,707.3,0.113,0.737
1790177929.0931933,1,0.748,0.0123,442.6,639.5,0.346,0.666
1790177930.1860867,1,0.489,0.01,420.7,626.1,0.329,0.652
1790177931.7255063,2,0.651,0.0088,382.8,619.5,0.299,0.645
1790177933.887348,2,0.477,0.0186,155.9,254.7,0.122,0.265
1790177945.257757,4,0.8,0.0192,718.7,662.1,0.561,0.69
1790177946.3474758,4,0.76,0.012,681.5,590.8,0.532,0.615
1790177947.630112,4,0.771,0.016,1025.2,574.8,0.801,0.599
1790177948.7619712,4,0.765,0.0125,937.7,589.8,0.733,0.614
1790177949.855556,4,0.773,0.0117,939.3,601.3,0.734,0.626
1790177950.8598347,4,0.773,0.0133,945.5,606.2,0.739,0.631
1790177952.1154916,1,0.772,0.0099,938.6,609.1,0.733,0.635
1790177953.298479,1,0.786,0.0103,937.9,597.7,0.733,0.623
1790177954.3708656,1,0.809,0.0171,332.7,566.8,0.26,0.59
1790177955.533642,1,0.786,0.0189,142.9,593.6,0.112,0.618
1790177956.601935,1,0.694,0.0092,516.1,561.8,0.403,0.585
1790177957.6701245,1,0.617,0.0124,506.3,588.3,0.396,0.613
1790177958.7846007,1,0.641,0.013,498.5,603.0,0.389,0.628
1790177960.006629,1,0.677,0.012,495.9,601.1,0.387,0.626
1790177961.1685066,1,0.69,0.0114,488.6,599.4,0.382,0.624
1790177962.4857745,2,0.681,0.0129,467.4,598.4,0.365,0.623
1790177970.2695775,4,0.857,0.0492,1101.8,703.3,0.861,0.733
1790177971.5387182,4,0.857,0.0492,1101.8,703.3,0.861,0.733
1790177972.5770466,4,0.717,0.007,894.7,499.1,0.699,0.52
1790177973.6100907,4,0.785,0.01,1027.4,533.0,0.803,0.555
1790177974.62079,4,0.799,0.0086,964.0,559.7,0.753,0.583
1790177977.0824268,4,0.317,0.0064,974.9,578.4,0.762,0.603
1790177978.3160012,1,0.424,0.0068,963.2,583.9,0.753,0.608
1790177980.0957193,1,0.616,0.0126,339.0,565.1,0.265,0.589
1790177981.110043,1,0.781,0.0201,214.9,579.1,0.168,0.603
1790177982.1296892,2,0.66,0.0085,520.2,562.2,0.406,0.586
1790177983.337175,2,0.553,0.0077,522.6,581.9,0.408,0.606
1790177990.914667,4,0.825,0.0543,992.6,800.7,0.775,0.834
1790177992.0744474,4,0.732,0.0104,702.3,563.4,0.549,0.587
1790177993.1741252,4,0.751,0.0116,1004.4,521.1,0.785,0.543
1790177994.2155697,4,0.762,0.0112,980.2,560.7,0.766,0.584
1790177995.3175087,4,0.639,0.0107,934.0,592.3,0.73,0.617
1790177996.3887613,4,0.705,0.0103,939.8,601.3,0.734,0.626
1790177997.436296,1,0.303,0.0106,929.6,616.6,0.726,0.642
1790177999.203752,1,0.803,0.0209,210.1,594.4,0.164,0.619
1790178000.4650865,1,0.8,0.021,152.2,644.6,0.119,0.671
1790178001.696842,1,0.712,0.0101,597.8,574.8,0.467,0.599
1790178002.7272851,1,0.698,0.0094,579.8,583.5,0.453,0.608
1790178004.1187027,1,0.654,0.0107,576.4,609.7,0.45,0.635
1790178005.4480057,1,0.52,0.0134,568.7,611.5,0.444,0.637
1790178006.5258052,1,0.576,0.0133,547.1,632.8,0.427,0.659
1790178007.7737448,2,0.418,0.0129,522.5,629.1,0.408,0.655
1790178018.6132455,4,0.803,0.0305,932.6,881.7,0.729,0.918
1790178019.7709002,4,0.735,0.0126,702.0,635.7,0.548,0.662
1790178020.79869,4,0.783,0.0129,831.7,582.3,0.65,0.607
1790178021.9994829,4,0.722,0.0097,1028.3,602.9,0.803,0.628
1790178023.2052271,1,0.604,0.0084,984.2,631.8,0.769,0.658
1790178024.8481271,1,0.787,0.0171,157.5,675.2,0.123,0.703
1790178026.1987605,2,0.76,0.0138,349.7,623.9,0.273,0.65
1790178027.728749,2,0.763,0.0265,174.6,375.1,0.136,0.391
1790178029.9929693,3,0.595,0.0545,91.2,774.5,0.071,0.807
1790178037.2263093,4,0.852,0.0445,848.5,799.9,0.663,0.833
1790178038.3787851,4,0.809,0.0165,688.1,620.9,0.538,0.647
1790178039.8474047,4,0.826,0.0199,1060.5,578.1,0.829,0.602
1790178040.9967325,4,0.741,0.0204,995.6,621.3,0.778,0.647
1790178042.1404877,4,0.797,0.0196,996.4,632.8,0.778,0.659
1790178043.3388283,4,0.749,0.0196,983.3,633.7,0.768,0.66
1790178044.388398,4,0.727,0.0169,966.6,636.7,0.755,0.663
1790178045.699397,4,0.764,0.0149,955.4,632.6,0.746,0.659
1790178046.7081966,4,0.757,0.0152,945.9,629.5,0.739,0.656
1790178047.7660818,4,0.758,0.0154,943.8,633.3,0.737,0.66
1790178048.7926652,4,0.744,0.0131,934.0,634.0,0.73,0.66
1790178049.9190218,4,0.737,0.0135,926.6,632.4,0.724,0.659
1790178051.1788588,4,0.77,0.0149,930.8,629.3,0.727,0.655
1790178052.4371397,4,0.76,0.014,931.1,635.0,0.727,0.661
1790178053.7330015,4,0.781,0.0143,930.7,639.4,0.727,0.666
1790178054.8064618,4,0.766,0.0147,937.7,641.5,0.733,0.668
1790178055.8885615,4,0.755,0.0162,945.9,641.3,0.739,0.668
1790178056.8960164,4,0.745,0.0158,946.8,641.5,0.74,0.668
1790178058.1107254,4,0.758,0.0146,946.6,639.9,0.74,0.667
1790178059.4909086,4,0.713,0.013,947.3,648.9,0.74,0.676
1790178060.6072855,4,0.729,0.0115,942.8,654.9,0.737,0.682
1790178061.8121576,4,0.757,0.0115,942.8,664.2,0.737,0.692
1790178063.0158606,4,0.693,0.0141,942.2,659.7,0.736,0.687
1790178064.2819061,4,0.703,0.0132,939.3,657.8,0.734,0.685
1790178065.6297936,4,0.738,0.0112,941.5,667.6,0.736,0.695
1790178066.76803,4,0.761,0.0127,946.5,674.1,0.739,0.702
1790178067.8946314,1,0.667,0.0088,941.9,672.4,0.736,0.7
1790178068.9970293,1,0.667,0.0088,941.9,672.4,0.736,0.7
1790178070.1532564,1,0.803,0.0198,202.3,666.6,0.158,0.694
1790178071.3316536,2,0.742,0.0212,182.5,646.5,0.143,0.673
1790178072.3866057,2,0.735,0.0106,550.9,577.1,0.43,0.601
1790178075.5263135,3,0.365,0.0536,95.1,784.6,0.074,0.817
1790178082.1318827,4,0.815,0.031,857.6,855.3,0.67,0.891
1790178083.176474,4,0.803,0.0179,749.7,653.9,0.586,0.681
1790178084.2324784,4,0.819,0.0179,1047.8,608.1,0.819,0.633
1790178085.2869432,4,0.788,0.0162,1026.3,634.9,0.802,0.661
1790178086.4785817,4,0.751,0.0156,980.2,648.2,0.766,0.675
1790178087.7695937,4,0.714,0.0195,1000.8,663.7,0.782,0.691
1790178088.8927755,4,0.554,0.0176,978.8,667.4,0.765,0.695
1790178090.0725276,1,0.733,0.0168,962.2,668.4,0.752,0.696
1790178091.396263,1,0.798,0.0269,147.9,694.9,0.116,0.724
1790178092.5158005,1,0.688,0.02,191.3,668.9,0.149,0.697
1790178093.8125083,1,0.668,0.0127,552.6,619.4,0.432,0.645
1790178094.9335904,1,0.678,0.0147,482.0,634.0,0.377,0.66
1790178096.0767803,2,0.652,0.0147,497.0,636.8,0.388,0.663
1790178097.083443,2,0.451,0.0243,449.1,556.2,0.351,0.579
1790178104.579566,4,0.786,0.058,1139.4,829.1,0.89,0.864
1790178105.892859,4,0.729,0.0148,705.5,633.5,0.551,0.66
1790178106.9876544,4,0.783,0.0114,982.4,586.9,0.767,0.611
1790178108.1059651,4,0.778,0.0103,997.7,614.9,0.779,0.641
1790178109.303754,4,0.704,0.0112,936.6,627.8,0.732,0.654
1790178110.391827,4,0.726,0.0113,949.4,638.4,0.742,0.665
1790178111.4155598,4,0.761,0.0103,937.5,647.2,0.732,0.674
1790178112.478608,4,0.806,0.0113,932.3,653.7,0.728,0.681
1790178113.4877055,4,0.795,0.0123,934.0,650.5,0.73,0.678
