[WARN] [1790213547.263788834] [sage_target_localizer]: attitude_source=gz_truth (SITL ground truth, not the PX4 estimate).
[INFO] [1790213547.267734063] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790213547.268501874] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790213547.269309454] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790213547.270141883] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790213547.271058436] [sage_target_localizer]: Waiting for camera/PX4 data...
[WARN] [1790213556.073875488] [sage_target_localizer]: 3D localization skipped: UAV tilt 8.3 deg > 8.0
[INFO] [1790213566.769630087] [sage_target_localizer]: Person 3D | pixel=(744.8,460.8) | position=(-8.98,10.41,0.00) | range=14.59 m
[INFO] [1790213566.875246983] [sage_target_localizer]: Person 3D | pixel=(744.8,460.8) | position=(-8.98,10.41,0.00) | range=14.59 m
[INFO] [1790213566.968274830] [sage_target_localizer]: Person 3D | pixel=(744.8,460.8) | position=(-8.98,10.41,0.00) | range=14.59 m
[INFO] [1790213567.068482588] [sage_target_localizer]: Person 3D | pixel=(744.8,460.8) | position=(-8.98,10.41,0.00) | range=14.59 m
[INFO] [1790213567.174502903] [sage_target_localizer]: Person 3D | pixel=(730.3,465.3) | position=(-7.42,8.63,0.00) | range=12.25 m
[INFO] [1790213567.271373926] [sage_target_localizer]: Person 3D | pixel=(730.3,465.3) | position=(-7.42,8.63,0.00) | range=12.25 m
[INFO] [1790213567.370082368] [sage_target_localizer]: Person 3D | pixel=(730.3,465.3) | position=(-7.42,8.63,0.00) | range=12.25 m
[INFO] [1790213567.469837990] [sage_target_localizer]: Person 3D | pixel=(730.3,465.3) | position=(-7.42,8.63,0.00) | range=12.25 m
[INFO] [1790213567.570711555] [sage_target_localizer]: Person 3D | pixel=(730.3,465.3) | position=(-7.42,8.63,0.00) | range=12.25 m
[INFO] [1790213567.668847682] [sage_target_localizer]: Person 3D | pixel=(730.3,465.3) | position=(-7.42,8.63,0.00) | range=12.25 m
[INFO] [1790213567.770604115] [sage_target_localizer]: Person 3D | pixel=(730.3,465.3) | position=(-7.42,8.63,0.00) | range=12.25 m
[INFO] [1790213567.876958444] [sage_target_localizer]: Person 3D | pixel=(730.3,465.3) | position=(-7.42,8.63,0.00) | range=12.25 m
